Hour,Day_of_Week,Day_Name,Month,Parking_Zone_ID,Weather_Condition,Temperature_C,Precipitation,Special_Event,Parking_Duration_Min,Occupancy_Rate,Occupancy_Status,Available_Binary
6,1,Tuesday,12,Zone_E_Airport,Overcast,-3.8,0,0,132,0.3722,Moderate,Available
19,1,Tuesday,4,Zone_C_Shopping,Heavy Rain,10.3,1,0,227,0.6481,Moderate,Unavailable
14,1,Tuesday,2,Zone_A_Downtown,Sunny,7.3,0,0,146,0.3303,Moderate,Available
10,3,Thursday,2,Zone_E_Airport,Cloudy,6.9,0,0,129,0.5927,Moderate,Unavailable
7,2,Wednesday,7,Zone_A_Downtown,Sunny,13.9,0,0,130,0.2529,Empty,Available
20,1,Tuesday,5,Zone_B_University,Sunny,20.8,0,1,71,0.500349732,Moderate,Available
6,6,Sunday,7,Zone_C_Shopping,Sunny,13.6,0,0,166,0.0024,Empty,Available
18,1,Tuesday,11,Zone_C_Shopping,Light Rain,2.4,1,0,290,0.9166,Full,Unavailable
22,5,Saturday,1,Zone_A_Downtown,Sunny,2,0,1,180,0.474467417,Empty,Available
10,0,Monday,1,Zone_D_Residential,Sunny,2.1,0,0,166,0.4178,Moderate,Available
10,5,Saturday,5,Zone_B_University,Heavy Rain,16.3,1,0,226,0.5773,Moderate,Unavailable
23,5,Saturday,2,Zone_B_University,Heavy Rain,5.3,1,0,294,0.1868,Empty,Available
20,0,Monday,8,Zone_D_Residential,Cloudy,13.3,0,0,116,0,Empty,Available
3,6,Sunday,3,Zone_B_University,Cloudy,9.5,0,0,267,0.022,Empty,Available
7,2,Wednesday,1,Zone_A_Downtown,Light Rain,6.3,1,1,295,0.556655853,Moderate,Available
23,5,Saturday,2,Zone_A_Downtown,Light Rain,5.3,1,1,95,0.375467952,Empty,Available
2,2,Wednesday,10,Zone_E_Airport,Cloudy,8.1,0,0,287,0.2266,Empty,Available
21,5,Saturday,10,Zone_A_Downtown,Sunny,6.4,0,0,72,0.2008,Empty,Available
20,4,Friday,7,Zone_B_University,Sunny,18,0,0,16,0.1668,Empty,Available
1,0,Monday,6,Zone_C_Shopping,Cloudy,20.3,0,0,23,0.1021,Empty,Available
23,5,Saturday,12,Zone_C_Shopping,Heavy Rain,-1.4,1,0,205,0.241,Empty,Available
11,4,Friday,8,Zone_A_Downtown,Sunny,15.9,0,0,137,0.2849,Empty,Available
5,3,Thursday,7,Zone_C_Shopping,Light Rain,16.3,1,0,118,0.3877,Moderate,Available
1,4,Friday,10,Zone_B_University,Sunny,3.1,0,0,97,0.2528,Empty,Available
20,1,Tuesday,8,Zone_E_Airport,Light Rain,16.3,1,0,123,0.5041,Moderate,Unavailable
0,5,Saturday,3,Zone_A_Downtown,Sunny,8.7,0,0,134,0.0643,Empty,Available
11,4,Friday,6,Zone_B_University,Heavy Rain,19.1,1,0,242,0.4271,Moderate,Available
21,2,Wednesday,7,Zone_B_University,Heavy Rain,8.8,1,1,281,0.529870487,Empty,Available
11,3,Thursday,10,Zone_B_University,Sunny,8.2,0,0,120,0.3371,Moderate,Available
16,6,Sunday,11,Zone_C_Shopping,Sunny,10.8,0,0,231,0.224,Empty,Available
9,5,Saturday,1,Zone_A_Downtown,Cloudy,3,0,0,142,0.5725,Moderate,Unavailable
15,1,Tuesday,1,Zone_A_Downtown,Sunny,2.3,0,0,163,0.1995,Empty,Available
14,6,Sunday,7,Zone_D_Residential,Light Rain,15.5,1,0,165,0.2335,Empty,Available
