Hour,Day_of_Week,Month,Weather_Condition,Precipitation,Special_Event,Temperature_C,Parking_Duration_Min,Parking_Zone_ID,Available_Binary
6,1,12,Overcast,0,0,-3.8,132,Zone_E_Airport,Available
19,1,4,Heavy Rain,1,0,10.3,227,Zone_C_Shopping,Unavailable
14,1,2,Sunny,0,0,7.3,146,Zone_A_Downtown,Available
10,3,2,Cloudy,0,0,6.9,129,Zone_E_Airport,Unavailable
7,2,7,Sunny,0,0,13.9,130,Zone_A_Downtown,Available
20,1,5,Sunny,0,1,20.8,71,Zone_B_University,Available
6,6,7,Sunny,0,0,13.6,166,Zone_C_Shopping,Available
18,1,11,Light Rain,1,0,2.4,290,Zone_C_Shopping,Unavailable
22,5,1,Sunny,0,1,2.0,180,Zone_A_Downtown,Available
10,0,1,Sunny,0,0,2.1,166,Zone_D_Residential,Available
10,5,5,Heavy Rain,1,0,16.3,226,Zone_B_University,Unavailable
23,5,2,Heavy Rain,1,0,5.3,294,Zone_B_University,Available
20,0,8,Cloudy,0,0,13.3,116,Zone_D_Residential,Available
3,6,3,Cloudy,0,0,9.5,267,Zone_B_University,Available
7,2,1,Light Rain,1,1,6.3,295,Zone_A_Downtown,Available
23,5,2,Light Rain,1,1,5.3,95,Zone_A_Downtown,Available
2,2,10,Cloudy,0,0,8.1,287,Zone_E_Airport,Available
21,5,10,Sunny,0,0,6.4,72,Zone_A_Downtown,Available
20,4,7,Sunny,0,0,18.0,16,Zone_B_University,Available
1,0,6,Cloudy,0,0,20.3,23,Zone_C_Shopping,Available
23,5,12,Heavy Rain,1,0,-1.4,205,Zone_C_Shopping,Available
11,4,8,Sunny,0,0,15.9,137,Zone_A_Downtown,Available
5,3,7,Light Rain,1,0,16.3,118,Zone_C_Shopping,Available
1,4,10,Sunny,0,0,3.1,97,Zone_B_University,Available
20,1,8,Light Rain,1,0,16.3,123,Zone_E_Airport,Unavailable
0,5,3,Sunny,0,0,8.7,134,Zone_A_Downtown,Available
11,4,6,Heavy Rain,1,0,19.1,242,Zone_B_University,Available
21,2,7,Heavy Rain,1,1,8.8,281,Zone_B_University,Available
11,3,10,Sunny,0,0,8.2,120,Zone_B_University,Available
16,6,11,Sunny,0,0,10.8,231,Zone_C_Shopping,Available
9,5,1,Cloudy,0,0,3.0,142,Zone_A_Downtown,Unavailable
15,1,1,Sunny,0,0,2.3,163,Zone_A_Downtown,Available
14,6,7,Light Rain,1,0,15.5,165,Zone_D_Residential,Available
14,4,11,Overcast,0,0,4.7,75,Zone_C_Shopping,Available
18,6,3,Heavy Rain,1,0,9.1,172,Zone_B_University,Unavailable
11,6,3,Sunny,0,1,11.9,188,Zone_A_Downtown,Available
22,3,5,Cloudy,0,0,22.1,288,Zone_A_Downtown,Available
19,6,11,Sunny,0,0,5.6,258,Zone_A_Downtown,Unavailable
2,6,6,Cloudy,0,0,17.5,187,Zone_A_Downtown,Available
4,5,2,Sunny,0,0,2.7,73,Zone_C_Shopping,Available
18,3,3,Light Rain,1,0,8.8,124,Zone_E_Airport,Unavailable
6,1,6,Light Rain,1,0,17.5,229,Zone_B_University,Available
20,4,3,Sunny,0,0,6.0,79,Zone_B_University,Available
8,3,5,Sunny,0,0,20.2,266,Zone_A_Downtown,Unavailable
6,3,9,Sunny,0,0,11.7,162,Zone_B_University,Available
17,0,12,Sunny,0,0,-1.1,242,Zone_A_Downtown,Unavailable
3,3,3,Cloudy,0,0,4.7,222,Zone_E_Airport,Available
13,0,12,Sunny,0,0,4.2,211,Zone_C_Shopping,Available
17,4,11,Light Rain,1,0,-1.9,257,Zone_E_Airport,Unavailable
8,6,6,Sunny,0,0,18.3,205,Zone_E_Airport,Available
20,5,11,Sunny,0,0,1.8,185,Zone_C_Shopping,Available
1,5,5,Light Rain,1,0,19.3,256,Zone_C_Shopping,Available
19,4,5,Cloudy,0,0,19.4,272,Zone_A_Downtown,Unavailable
14,4,11,Light Rain,1,0,0.6,165,Zone_C_Shopping,Available
6,2,6,Sunny,0,0,20.7,251,Zone_E_Airport,Available
11,6,6,Sunny,0,0,17.1,167,Zone_A_Downtown,Available
7,4,1,Overcast,0,0,3.1,79,Zone_E_Airport,Available
14,3,11,Overcast,0,0,3.2,264,Zone_B_University,Available
2,5,9,Sunny,0,0,16.7,204,Zone_E_Airport,Available
13,1,5,Cloudy,0,0,16.6,173,Zone_E_Airport,Available
16,5,1,Sunny,0,1,-1.9,46,Zone_C_Shopping,Available
3,0,8,Sunny,0,0,11.9,74,Zone_C_Shopping,Available
17,5,7,Cloudy,0,0,19.1,193,Zone_C_Shopping,Available
7,2,7,Light Rain,1,1,16.1,250,Zone_D_Residential,Available
3,6,5,Light Rain,1,0,17.0,201,Zone_E_Airport,Available
1,4,1,Overcast,0,0,1.8,219,Zone_D_Residential,Available
5,6,9,Light Rain,1,0,1.6,129,Zone_C_Shopping,Available
21,4,11,Sunny,0,1,0.7,268,Zone_C_Shopping,Available
9,5,9,Sunny,0,0,9.8,82,Zone_D_Residential,Available
3,1,8,Sunny,0,0,8.7,237,Zone_C_Shopping,Available
21,1,5,Light Rain,1,0,13.4,186,Zone_D_Residential,Available
17,2,3,Heavy Rain,1,0,9.0,224,Zone_C_Shopping,Unavailable
11,0,8,Sunny,0,0,13.0,141,Zone_A_Downtown,Available
1,5,1,Sunny,0,0,4.3,172,Zone_B_University,Available
9,4,3,Overcast,0,0,9.2,102,Zone_B_University,Unavailable
3,5,12,Overcast,0,0,3.1,68,Zone_A_Downtown,Available
13,2,11,Cloudy,0,0,1.0,62,Zone_A_Downtown,Available
15,3,7,Cloudy,0,0,17.6,40,Zone_C_Shopping,Available
14,3,4,Cloudy,0,1,18.4,102,Zone_A_Downtown,Available
7,2,7,Cloudy,0,0,17.8,121,Zone_B_University,Available
13,4,12,Heavy Rain,1,0,1.3,251,Zone_D_Residential,Available
22,6,11,Sunny,0,0,0.2,218,Zone_E_Airport,Available
7,2,5,Cloudy,0,0,17.2,83,Zone_D_Residential,Available
20,4,6,Sunny,0,0,17.3,94,Zone_E_Airport,Available
15,1,7,Light Rain,1,0,18.6,171,Zone_C_Shopping,Available
12,2,10,Cloudy,0,0,0.5,140,Zone_B_University,Available
17,4,12,Sunny,0,0,1.4,39,Zone_C_Shopping,Unavailable
